date,store_id,product_id,units_sold,sell_price,inventory_on_hand,stockout_flag
2025-01-01,1,1,44,200.37,49,False
2025-01-01,1,2,58,82.0,77,False
2025-01-01,1,3,73,177.9,89,False
2025-01-01,1,4,38,442.82,44,False
2025-01-01,1,5,24,335.61,48,False
2025-01-01,1,6,62,269.45,86,False
2025-01-01,1,7,27,479.44,45,False
2025-01-01,1,8,54,188.26,78,False
2025-01-01,1,9,49,477.73,68,False
2025-01-01,1,10,103,114.18,116,False
2025-01-01,1,11,38,248.27,44,False
2025-01-01,1,12,59,68.47,71,False
2025-01-01,1,13,95,422.94,109,False
2025-01-01,1,14,31,485.1,52,False
2025-01-01,1,15,83,395.76,91,False
2025-01-01,1,16,26,478.22,36,False
2025-01-01,1,17,27,246.17,36,False
2025-01-01,1,18,39,57.9,57,False
2025-01-01,1,19,60,205.89,79,False
2025-01-01,1,20,86,375.97,98,False
2025-01-01,1,21,36,130.09,41,False
2025-01-01,1,22,12,318.06,42,False
2025-01-01,1,23,79,90.65,98,False
2025-01-01,1,24,25,86.62,55,False
2025-01-01,1,25,41,353.05,67,False
2025-01-01,1,26,97,338.97,111,False
2025-01-01,1,27,17,375.28,30,False
2025-01-01,1,28,54,479.76,83,False
2025-01-01,1,29,16,102.53,45,False
2025-01-01,1,30,45,400.55,50,False
2025-01-01,1,31,37,379.36,64,False
2025-01-01,1,32,34,197.3,40,False
2025-01-01,1,33,41,488.45,64,False
2025-01-01,1,34,68,432.47,89,False
2025-01-01,1,35,20,311.16,34,False
2025-01-01,1,36,35,263.84,48,False
2025-01-01,1,37,56,350.73,70,False
2025-01-01,1,38,39,452.2,65,False
2025-01-01,1,39,51,354.73,64,False
2025-01-01,1,40,47,367.24,60,False
2025-01-01,1,41,61,103.01,75,False
2025-01-01,1,42,50,141.37,58,False
2025-01-01,1,43,27,217.15,52,False
2025-01-01,1,44,78,266.49,106,False
2025-01-01,1,45,76,173.25,95,False
2025-01-01,1,46,74,124.93,93,False
2025-01-01,1,47,43,355.22,62,False
2025-01-01,1,48,79,173.64,102,False
2025-01-01,1,49,74,371.75,83,False
2025-01-01,1,50,49,53.32,55,False
2025-01-01,2,1,61,459.36,91,False
2025-01-01,2,2,22,180.86,48,False
2025-01-01,2,3,40,238.23,66,False
2025-01-01,2,4,79,114.31,87,False
2025-01-01,2,5,59,227.43,84,False
2025-01-01,2,6,46,90.95,57,False
2025-01-01,2,7,49,57.75,77,False
2025-01-01,2,8,26,84.31,36,False
2025-01-01,2,9,24,306.42,47,False
2025-01-01,2,10,29,196.49,42,False
2025-01-01,2,11,33,134.32,50,False
2025-01-01,2,12,46,302.66,74,False
2025-01-01,2,13,30,189.07,42,False
2025-01-01,2,14,64,62.0,92,False
2025-01-01,2,15,56,425.29,78,False
2025-01-01,2,16,62,485.01,87,False
2025-01-01,2,17,17,453.47,43,False
2025-01-01,2,18,56,448.57,65,False
2025-01-01,2,19,75,111.43,90,False
2025-01-01,2,20,57,162.52,77,False
2025-01-01,2,21,38,349.85,43,False
2025-01-01,2,22,61,93.87,68,False
2025-01-01,2,23,46,316.35,73,False
2025-01-01,2,24,76,425.19,103,False
2025-01-01,2,25,55,417.91,69,False
2025-01-01,2,26,58,414.28,74,False
2025-01-01,2,27,96,183.55,107,False
2025-01-01,2,28,33,236.02,58,False
2025-01-01,2,29,95,402.99,113,False
2025-01-01,2,30,45,309.53,57,False
2025-01-01,2,31,63,331.11,70,False
2025-01-01,2,32,71,122.25,90,False
2025-01-01,2,33,90,259.61,119,False
2025-01-01,2,34,43,398.28,69,False
2025-01-01,2,35,43,326.81,69,False
