date,store_id,product_id,promo_type,discount_pct,display_flag,campaign_name
05-01-2025,7,9,discount,15,True,Weekend Bonanza
14-02-2025,9,5,discount,5,False,New Year Sale
16-02-2025,8,48,discount,10,True,New Year Sale
20-02-2025,2,9,discount,15,True,New Year Sale
06-01-2025,4,15,discount,15,False,Weekend Bonanza
18-01-2025,1,12,discount,5,False,Clearance Sale
11-01-2025,3,49,discount,40,True,Mega Discount Days
16-01-2025,6,41,discount,20,False,Festive Offer
23-01-2025,7,12,discount,5,False,Festive Offer
08-02-2025,1,44,discount,20,False,New Year Sale
22-01-2025,6,35,discount,10,False,Clearance Sale
14-02-2025,5,47,discount,40,False,Clearance Sale
07-01-2025,6,19,discount,15,True,Clearance Sale
01-02-2025,9,48,discount,40,False,Festive Offer
30-01-2025,10,28,discount,20,True,New Year Sale
29-01-2025,10,25,discount,30,True,Clearance Sale
27-02-2025,4,45,discount,40,False,Mega Discount Days
29-01-2025,2,5,discount,10,True,Festive Offer
23-02-2025,1,46,discount,10,False,New Year Sale
30-01-2025,10,31,discount,20,True,Clearance Sale
05-02-2025,3,37,discount,40,True,Mega Discount Days
08-01-2025,9,32,discount,30,False,Clearance Sale
17-01-2025,8,38,discount,40,False,Clearance Sale
17-01-2025,1,29,discount,30,True,Clearance Sale
19-01-2025,10,33,discount,20,True,Weekend Bonanza
15-02-2025,2,23,discount,10,True,Mega Discount Days
31-01-2025,3,8,discount,5,False,Festive Offer
08-01-2025,4,24,discount,30,False,Festive Offer
12-02-2025,8,39,discount,20,True,Weekend Bonanza
12-01-2025,9,38,discount,20,False,Weekend Bonanza
24-02-2025,1,34,discount,30,False,Clearance Sale
28-02-2025,6,22,discount,30,True,Weekend Bonanza
13-02-2025,8,31,discount,20,False,Weekend Bonanza
14-01-2025,1,9,discount,10,False,Weekend Bonanza
12-02-2025,10,8,discount,15,False,Festive Offer
10-02-2025,2,22,discount,20,True,Mega Discount Days
24-02-2025,1,13,discount,15,False,Weekend Bonanza
21-01-2025,2,43,discount,20,False,Mega Discount Days
15-02-2025,2,18,discount,5,False,New Year Sale
26-01-2025,10,27,discount,10,False,Weekend Bonanza
08-01-2025,7,14,discount,15,True,New Year Sale
15-01-2025,7,38,discount,20,False,Clearance Sale
18-02-2025,10,34,discount,20,False,Mega Discount Days
09-02-2025,2,43,discount,10,False,New Year Sale
11-01-2025,3,22,discount,10,True,Weekend Bonanza
30-01-2025,9,6,discount,15,False,New Year Sale
17-01-2025,5,24,discount,20,False,Clearance Sale
06-01-2025,8,19,discount,15,False,New Year Sale
05-01-2025,7,43,discount,20,True,Clearance Sale
18-01-2025,7,33,discount,30,True,Mega Discount Days
16-01-2025,9,33,discount,20,True,Weekend Bonanza
03-02-2025,2,8,discount,10,False,Mega Discount Days
11-02-2025,3,5,discount,5,True,Festive Offer
26-01-2025,10,34,discount,20,True,Weekend Bonanza
07-01-2025,1,15,discount,10,False,New Year Sale
24-02-2025,7,32,discount,30,True,Weekend Bonanza
25-01-2025,3,25,discount,30,True,New Year Sale
08-01-2025,6,3,discount,5,True,New Year Sale
24-02-2025,8,38,discount,40,False,Clearance Sale
25-01-2025,7,36,discount,10,False,Festive Offer
24-01-2025,1,45,discount,20,False,New Year Sale
23-01-2025,8,7,discount,5,False,Mega Discount Days
06-01-2025,4,27,discount,10,True,Festive Offer
27-02-2025,5,39,discount,40,False,New Year Sale
01-03-2025,10,46,discount,20,False,Mega Discount Days
11-02-2025,5,48,discount,20,False,Clearance Sale
27-01-2025,8,26,discount,20,False,New Year Sale
05-02-2025,10,37,discount,20,False,Mega Discount Days
16-01-2025,8,36,discount,10,False,New Year Sale
27-01-2025,7,33,discount,20,True,Clearance Sale
20-01-2025,2,36,discount,20,True,Weekend Bonanza
13-01-2025,7,33,discount,30,False,New Year Sale
18-02-2025,9,30,discount,30,False,Clearance Sale
06-02-2025,2,30,discount,20,True,Festive Offer
11-01-2025,5,2,discount,10,False,Weekend Bonanza
02-01-2025,5,48,discount,20,True,Festive Offer
20-01-2025,6,11,discount,10,True,Mega Discount Days
01-03-2025,3,13,discount,10,False,Weekend Bonanza
09-02-2025,10,43,discount,40,True,Weekend Bonanza
16-02-2025,4,40,discount,40,True,Clearance Sale
21-02-2025,1,36,discount,20,False,Mega Discount Days
05-02-2025,10,14,discount,5,False,Clearance Sale
20-02-2025,5,47,discount,10,True,Clearance Sale
11-01-2025,2,32,discount,20,False,Festive Offer
19-01-2025,8,1,discount,5,True,Festive Offer
22-01-2025,10,33,discount,10,False,Weekend Bonanza
17-02-2025,3,22,discount,10,False,Weekend Bonanza
27-01-2025,5,36,discount,40,True,New Year Sale
08-02-2025,8,18,discount,5,True,New Year Sale
03-01-2025,4,41,discount,20,True,Clearance Sale
02-01-2025,7,22,discount,30,True,Weekend Bonanza
01-02-2025,8,29,discount,20,True,Festive Offer
10-02-2025,10,48,discount,10,True,Weekend Bonanza
19-01-2025,9,20,discount,5,False,Clearance Sale
26-02-2025,3,1,discount,5,False,New Year Sale
18-01-2025,8,43,discount,20,True,New Year Sale
09-01-2025,10,12,discount,5,False,Mega Discount Days
20-02-2025,5,30,discount,20,True,New Year Sale
01-03-2025,10,36,discount,10,False,Clearance Sale
26-01-2025,3,7,discount,5,True,Festive Offer
21-02-2025,10,29,discount,20,False,Clearance Sale
08-02-2025,3,33,discount,20,False,New Year Sale
30-01-2025,5,41,discount,20,False,Weekend Bonanza
25-01-2025,3,47,discount,40,False,Festive Offer
06-01-2025,5,45,discount,20,False,Weekend Bonanza
21-01-2025,3,15,discount,5,False,Clearance Sale
05-01-2025,8,34,discount,30,True,Mega Discount Days
19-01-2025,4,4,discount,15,False,Mega Discount Days
03-01-2025,9,7,discount,10,False,Festive Offer
03-02-2025,2,11,discount,15,False,Mega Discount Days
08-02-2025,8,12,discount,15,True,Festive Offer
21-01-2025,7,43,discount,20,True,New Year Sale
25-02-2025,6,7,discount,15,False,Weekend Bonanza
05-02-2025,3,15,discount,10,False,Mega Discount Days
09-02-2025,9,7,discount,5,False,Clearance Sale
19-02-2025,1,31,discount,30,False,Festive Offer
24-02-2025,7,9,discount,15,True,New Year Sale
05-02-2025,6,39,discount,10,True,Weekend Bonanza
27-01-2025,2,26,discount,20,True,Festive Offer
14-02-2025,2,40,discount,10,False,Mega Discount Days
27-02-2025,2,24,discount,20,False,Festive Offer
11-02-2025,2,19,discount,15,False,Clearance Sale
05-02-2025,8,41,discount,40,True,New Year Sale
03-02-2025,7,38,discount,10,False,Mega Discount Days
14-01-2025,2,3,discount,5,True,Mega Discount Days
09-02-2025,3,38,discount,20,False,Mega Discount Days
06-02-2025,6,45,discount,40,True,Weekend Bonanza
06-01-2025,8,27,discount,10,True,New Year Sale
06-01-2025,10,33,discount,20,True,Mega Discount Days
04-02-2025,9,11,discount,15,True,Mega Discount Days
31-01-2025,4,13,discount,15,False,New Year Sale
05-01-2025,4,4,discount,15,True,Clearance Sale
07-02-2025,5,1,discount,10,True,Weekend Bonanza
16-01-2025,4,18,discount,15,True,New Year Sale
31-01-2025,5,44,discount,10,True,Weekend Bonanza
03-02-2025,8,8,discount,10,False,Weekend Bonanza
28-01-2025,10,12,discount,10,False,Weekend Bonanza
01-01-2025,5,18,discount,10,True,Clearance Sale
16-02-2025,6,38,discount,40,True,Weekend Bonanza
05-01-2025,5,14,discount,15,True,Clearance Sale
14-01-2025,2,31,discount,10,False,Mega Discount Days
25-02-2025,3,3,discount,10,True,Mega Discount Days
08-02-2025,8,27,discount,30,False,Weekend Bonanza
16-01-2025,1,40,discount,40,False,Festive Offer
30-01-2025,10,27,discount,30,False,Clearance Sale
21-01-2025,3,29,discount,30,True,New Year Sale
12-01-2025,5,6,discount,5,False,Clearance Sale
12-01-2025,10,4,discount,5,False,Weekend Bonanza
02-01-2025,1,39,discount,40,True,New Year Sale
13-02-2025,4,14,discount,10,True,New Year Sale
13-02-2025,2,18,discount,5,False,Weekend Bonanza
27-02-2025,10,33,discount,20,True,Clearance Sale
15-01-2025,9,28,discount,20,False,Weekend Bonanza
11-02-2025,5,26,discount,30,True,Weekend Bonanza
09-01-2025,4,32,discount,30,False,Festive Offer
07-02-2025,5,2,discount,15,True,Weekend Bonanza
31-01-2025,9,15,discount,5,True,Weekend Bonanza
25-01-2025,4,5,discount,10,True,Weekend Bonanza
02-01-2025,2,30,discount,20,True,Weekend Bonanza
05-01-2025,4,19,discount,5,True,Mega Discount Days
18-02-2025,9,20,discount,15,True,Weekend Bonanza
01-01-2025,6,1,discount,10,True,Festive Offer
01-02-2025,4,43,discount,20,False,Mega Discount Days
20-01-2025,10,22,discount,30,True,Clearance Sale
02-02-2025,4,31,discount,10,True,Festive Offer
23-01-2025,10,40,discount,10,True,Festive Offer
19-01-2025,3,45,discount,40,True,New Year Sale
28-02-2025,9,33,discount,10,False,Festive Offer
21-02-2025,6,41,discount,10,True,New Year Sale
12-01-2025,6,22,discount,10,True,Clearance Sale
23-02-2025,5,47,discount,20,False,Weekend Bonanza
05-01-2025,7,26,discount,30,False,Festive Offer
31-01-2025,9,31,discount,30,False,Festive Offer
01-01-2025,9,31,discount,20,False,Clearance Sale
22-01-2025,6,19,discount,10,False,Clearance Sale
06-01-2025,1,33,discount,10,True,Mega Discount Days
05-01-2025,10,8,discount,5,False,Mega Discount Days
08-02-2025,4,37,discount,10,True,Mega Discount Days
24-02-2025,5,36,discount,10,False,Weekend Bonanza
14-02-2025,6,42,discount,40,False,New Year Sale
23-01-2025,5,13,discount,15,False,Weekend Bonanza
02-01-2025,1,6,discount,5,True,New Year Sale
16-02-2025,3,13,discount,15,True,New Year Sale
07-02-2025,6,30,discount,10,False,Festive Offer
08-02-2025,2,33,discount,20,False,Festive Offer
05-02-2025,8,45,discount,10,True,Clearance Sale
08-02-2025,1,7,discount,5,False,Mega Discount Days
09-02-2025,4,41,discount,20,True,Clearance Sale
24-02-2025,2,44,discount,10,False,New Year Sale
16-02-2025,4,30,discount,30,False,New Year Sale
26-01-2025,3,27,discount,20,True,Weekend Bonanza
08-01-2025,7,35,discount,40,True,Festive Offer
03-01-2025,7,31,discount,30,False,Weekend Bonanza
12-02-2025,10,17,discount,10,False,Weekend Bonanza
17-02-2025,7,29,discount,20,True,Weekend Bonanza
06-01-2025,1,42,discount,10,True,New Year Sale
27-02-2025,3,13,discount,10,True,Weekend Bonanza
13-02-2025,10,46,discount,20,False,Mega Discount Days
24-01-2025,8,50,discount,20,False,Festive Offer
21-02-2025,8,23,discount,30,False,Clearance Sale
22-02-2025,5,26,discount,10,True,Festive Offer
01-02-2025,7,6,discount,10,True,Festive Offer
20-01-2025,2,6,discount,10,False,Mega Discount Days
16-01-2025,2,18,discount,10,False,Mega Discount Days
08-01-2025,1,8,discount,10,True,Clearance Sale
18-01-2025,7,35,discount,20,True,Weekend Bonanza
07-02-2025,6,35,discount,10,True,Mega Discount Days
01-03-2025,8,8,discount,5,True,Festive Offer
17-02-2025,2,38,discount,20,True,New Year Sale
26-02-2025,6,18,discount,5,True,Festive Offer
12-01-2025,7,45,discount,20,False,Festive Offer
22-02-2025,10,27,discount,30,False,Weekend Bonanza
18-02-2025,4,49,discount,20,False,Weekend Bonanza
27-02-2025,8,32,discount,20,True,New Year Sale
10-01-2025,7,46,discount,40,True,Festive Offer
10-01-2025,10,36,discount,40,True,Festive Offer
16-02-2025,8,50,discount,10,True,Clearance Sale
21-02-2025,2,20,discount,15,True,Festive Offer
10-02-2025,6,13,discount,5,True,New Year Sale
11-02-2025,8,7,discount,5,False,Mega Discount Days
23-02-2025,7,23,discount,20,False,Festive Offer
19-01-2025,7,18,discount,5,True,Weekend Bonanza
21-02-2025,1,7,discount,5,True,Weekend Bonanza
30-01-2025,7,48,discount,10,False,Clearance Sale
16-01-2025,7,43,discount,40,False,Weekend Bonanza
27-02-2025,3,48,discount,20,True,New Year Sale
01-03-2025,10,35,discount,20,False,New Year Sale
27-01-2025,1,49,discount,10,False,Clearance Sale
20-02-2025,2,50,discount,10,True,Clearance Sale
30-01-2025,8,7,discount,15,True,Clearance Sale
20-02-2025,1,14,discount,15,False,Clearance Sale
22-01-2025,5,40,discount,20,True,Mega Discount Days
02-02-2025,2,45,discount,20,True,Clearance Sale
05-01-2025,5,9,discount,5,True,Mega Discount Days
07-02-2025,7,41,discount,10,False,Festive Offer
26-02-2025,6,23,discount,20,False,Festive Offer
14-02-2025,8,23,discount,10,False,New Year Sale
05-01-2025,6,17,discount,5,False,Weekend Bonanza
11-01-2025,5,27,discount,30,False,Festive Offer
26-02-2025,7,2,discount,10,False,Clearance Sale
13-02-2025,2,29,discount,20,True,Mega Discount Days
10-02-2025,3,23,discount,10,False,Clearance Sale
05-02-2025,8,43,discount,40,False,Clearance Sale
11-02-2025,9,28,discount,30,False,Weekend Bonanza
27-01-2025,1,23,discount,10,False,New Year Sale
11-02-2025,5,37,discount,20,False,Mega Discount Days
24-02-2025,8,17,discount,10,True,Clearance Sale
24-01-2025,5,41,discount,20,True,Clearance Sale
14-01-2025,1,48,discount,40,False,New Year Sale
07-01-2025,6,33,discount,10,False,Weekend Bonanza
01-02-2025,3,15,discount,15,True,Festive Offer
17-02-2025,4,12,discount,15,True,New Year Sale
05-01-2025,6,27,discount,20,False,Festive Offer
22-02-2025,2,1,discount,10,True,Mega Discount Days
